15:42:53.144 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@61bcd567, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1c80e49b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@458342d3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@15c25153, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1252b961, org.springframework.test.context.support.DirtiesContextTestExecutionListener@9ed238c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@56276db8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@51e8e6e6, org.springframework.test.context.event.EventPublishingTestExecutionListener@56f6d40b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@36676c1a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5b408dc3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4d098f9b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2dbf4cbd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@20b5f2ac, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7fc44dec]
15:42:53.631 [main] INFO  c.s.s.ExcelFieldConfigServiceTest - Starting ExcelFieldConfigServiceTest using Java 1.8.0_321 on DESKTOP-QGOJFOS with PID 37136 (started by Administrator in D:\code\excel-to-database)
15:42:53.634 [main] INFO  c.s.s.ExcelFieldConfigServiceTest - No active profile set, falling back to default profiles: default
15:42:59.886 [main] INFO  c.s.s.ExcelFieldConfigServiceTest - Started ExcelFieldConfigServiceTest in 6.671 seconds (JVM running for 8.253)
15:43:00.809 [main] INFO  c.s.c.l.ReadUploadExcelListener - tableId:1,表头信息:{0=用户名, 1=年龄, 2=学校}
15:43:00.857 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
15:43:03.186 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
15:43:03.317 [main] INFO  c.s.c.l.ReadUploadExcelListener - tableId:1,获取excel信息:{0=张三, 1=18, 2=北大}
15:43:03.336 [main] INFO  c.s.c.l.ReadUploadExcelListener - tableId:1,获取excel信息:{0=李四, 1=19, 2=大专}
15:43:18.966 [main] INFO  c.s.c.l.ReadUploadExcelListener - SQL PARAM = (username,)
